country,year,NY.GDP.MKTP.KD
"Iran, Islamic Rep.",2016,4.56944E+11
"Iran, Islamic Rep.",2015,4.56944E+11
"Iran, Islamic Rep.",2014,4.63903E+11
"Iran, Islamic Rep.",2013,4.44593E+11
"Iran, Islamic Rep.",2012,4.53257E+11
"Iran, Islamic Rep.",2011,4.85331E+11
"Iran, Islamic Rep.",2010,4.6779E+11
"Iran, Islamic Rep.",2009,4.38921E+11
"Iran, Islamic Rep.",2008,4.28991E+11
"Iran, Islamic Rep.",2007,4.25065E+11
"Iran, Islamic Rep.",2006,3.89552E+11
"Iran, Islamic Rep.",2005,3.6853E+11
"Iran, Islamic Rep.",2004,3.53647E+11
"Iran, Islamic Rep.",2003,3.38948E+11
